frequency,magnitude_db,phase_deg
851.1380382,-28.70574897,-13.36259482
870.96359,-28.71278711,-13.17987568
891.2509381,-28.71952879,-13.00364499
912.0108394,-28.72598695,-12.83384147
933.2543008,-28.73217401,-12.67040523
954.992586,-28.73810197,-12.51327789
977.237221,-28.74378235,-12.36240264
1000,-28.74922623,-12.21772429
1023.292992,-28.75444429,-12.07918943
1047.128548,-28.75944679,-11.94674638
1071.519305,-28.7642436,-11.82034536
1096.478196,-28.76884422,-11.69993848
1122.018454,-28.77325781,-11.58547982
1148.153621,-28.77749316,-11.47692548
1174.897555,-28.78155873,-11.37423364
1202.264435,-28.7854627,-11.27736458
1230.268771,-28.78921289,-11.18628072
1258.925412,-28.79281689,-11.1009467
1288.249552,-28.79628197,-11.02132938
1318.256739,-28.79961516,-10.94739788
1348.962883,-28.80282323,-10.87912363
1380.384265,-28.80591271,-10.81648039
1412.537545,-28.80888991,-10.75944427
1445.439771,-28.81176091,-10.70799378
1479.108388,-28.8145316,-10.66210984
1513.561248,-28.81720767,-10.62177583
1548.816619,-28.81979461,-10.58697757
1584.893192,-28.82229777,-10.5577034
1621.810097,-28.82472231,-10.53394417
1659.586907,-28.82707323,-10.51569327
1698.243652,-28.82935542,-10.50294665
1737.800829,-28.8315736,-10.49570286
1778.27941,-28.83373238,-10.49396306
1819.700859,-28.83583626,-10.49773104
1862.087137,-28.83788961,-10.50701326
1905.460718,-28.83989673,-10.52181886
1949.8446,-28.8418618,-10.54215967
1995.262315,-28.84378894,-10.56805029
2041.737945,-28.84568218,-10.59950804
2089.296131,-28.84754549,-10.63655304
2137.96209,-28.84938279,-10.67920823
2187.761624,-28.85119794,-10.72749936
2238.721139,-28.85299476,-10.78145508
2290.867653,-28.85477703,-10.84110691
2344.228815,-28.85654852,-10.90648931
2398.832919,-28.85831296,-10.97763968
2454.708916,-28.86007409,-11.05459843
2511.886432,-28.86183564,-11.13740898
2570.395783,-28.86360133,-11.22611782
2630.267992,-28.86537491,-11.32077452
2691.534804,-28.86716014,-11.42143181
2754.228703,-28.86896083,-11.52814556
2818.382931,-28.87078079,-11.6409749
2884.031503,-28.87262391,-11.75998217
2951.209227,-28.87449411,-11.88523306
3019.95172,-28.87639539,-12.01679657
3090.295433,-28.87833181,-12.15474514
3162.27766,-28.8803075,-12.29915464
3235.936569,-28.88232671,-12.45010443
3311.311215,-28.88439374,-12.60767747
3388.441561,-28.88651304,-12.77196031
3467.368505,-28.88868916,-12.94304319
3548.133892,-28.89092678,-13.12102008
3630.780548,-28.89323071,-13.30598877
3715.352291,-28.89560593,-13.49805093
3801.893963,-28.89805754,-13.69731215
3890.45145,-28.90059086,-13.90388209
3981.071706,-28.90321136,-14.11787445
4073.802778,-28.90592471,-14.33940716
4168.693835,-28.9087368,-14.56860238
4265.795188,-28.91165374,-14.80558664
4365.158322,-28.91468187,-15.05049091
4466.835922,-28.9178278,-15.3034507
4570.881896,-28.92109837,-15.56460614
4677.351413,-28.92450074,-15.83410212
4786.300923,-28.92804236,-16.11208837
4897.788194,-28.93173099,-16.39871961
5011.872336,-28.93557473,-16.69415559
5128.61384,-28.93958205,-16.99856131
5248.074602,-28.94376178,-17.31210708
5370.317964,-28.94812316,-17.63496868
5495.408739,-28.95267583,-17.9673275
5623.413252,-28.95742992,-18.30937068
5754.399373,-28.96239599,-18.66129127
5888.436554,-28.96758511,-19.02328839
6025.595861,-28.97300889,-19.39556739
6165.950019,-28.97867947,-19.77834003
6309.573445,-28.98460962,-20.17182467
6456.54229,-28.99081268,-20.57624646
6606.93448,-28.99730269,-20.99183754
6760.829754,-29.00409436,-21.41883724
6918.309709,-29.01120314,-21.85749235
7079.457844,-29.01864526,-22.30805727
7244.359601,-29.02643777,-22.77079435
7413.102413,-29.0345986,-23.24597407
7585.77575,-29.04314658,-23.73387536
7762.471166,-29.05210153,-24.23478589
7943.282347,-29.0614843,-24.74900231
8128.305162,-29.07131682,-25.27683063
8317.637711,-29.0816222,-25.81858655
8511.380382,-29.09242476,-26.37459576
8709.6359,-29.10375015,-26.94519439
8912.509381,-29.11562538,-27.53072931
9120.108394,-29.12807894,-28.13155865
9332.543008,-29.14114089,-28.74805216
9549.92586,-29.15484293,-29.3805917
9772.37221,-29.16921856,-30.02957176
10000,-29.18430313,-30.69539994
10232.92992,-29.20013403,-31.37849753
10471.28548,-29.21675074,-32.0793001
10715.19305,-29.23419507,-32.79825813
10964.78196,-29.25251124,-33.53583765
11220.18454,-29.27174607,-34.29252098
11481.53621,-29.29194918,-35.06880747
11748.97555,-29.31317314,-35.8652143
12022.64435,-29.33547375,-36.68227733
12302.68771,-29.35891019,-37.52055207
12589.25412,-29.38354535,-38.38061458
12882.49552,-29.40944605,-39.26306256
13182.56739,-29.43668335,-40.16851646
13489.62883,-29.46533291,-41.09762067
13803.84265,-29.49547529,-42.05104482
14125.37545,-29.5271964,-43.02948511
14454.39771,-29.56058788,-44.03366584
14791.08388,-29.59574761,-45.06434095
15135.61248,-29.63278021,-46.1222957
15488.16619,-29.67179762,-47.20834856
15848.93192,-29.71291974,-48.3233531
16218.10097,-29.75627513,-49.46820013
16595.86907,-29.80200179,-50.64381995
16982.43652,-29.85024801,-51.85118482
17378.00829,-29.90117337,-53.09131155
17782.7941,-29.95487284,-54.19854679
18197.00859,-30.01168215,-55.50355672
18620.87137,-30.07172816,-56.84458523
19054.60718,-30.13522763,-58.22285578
19498.446,-30.20241544,-59.63965286
19952.62315,-30.27354649,-61.09632601
20417.37945,-30.34889789,-62.59429425
20892.96131,-30.42877138,-64.1350508
21379.6209,-30.51349621,-65.72016813
21877.61624,-30.60343224,-67.35130338
22387.21139,-30.69897363,-69.03020416
22908.67653,-30.80055299,-70.75871473
23442.28815,-30.90864618,-72.53878259
23988.32919,-31.02377786,-74.37246538
24547.08916,-31.14652787,-76.26193827
25118.86432,-31.27753867,-78.20950158
25703.95783,-31.417524,-80.21758878
26302.67992,-31.56727901,-82.28877465
26915.34804,-31.72758303,-84.29961583
27542.28703,-31.89964525,-86.50239129
28183.82931,-32.08448145,-88.77685208
